Provinsi,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
Aceh,1563556,1667160,1819017,1670472
Sumatera Utara,1595084,1944328,1909993,1800964
Sumatera Barat,1393445,1817445,1883674,1656843
Riau,2055351,2100567,2145541,2094333
Jambi,1953891,2302870,2314989,2116823
Sumatera Selatan,1699250,2103637,2013118,1879107
Bengkulu,1506633,1889282,1769191,1644239
Lampung,1367176,1842942,1836913,1609657
Kepulauan Bangka Belitung,2088453,2492893,2468293,2362600
Kepulauan Riau,1975011,2446822,2453473,2355801
DKI Jakarta,3181044,4443860,4189801,4201899
Jawa Barat,1277460,2129398,2130374,1951688
Jawa Tengah,1112720,1681755,1607794,1489425
DI Yogyakarta,771295,1434097,1765708,1469717
Jawa Timur,1252165,1755770,1940338,1664599
Banten,1307389,2374788,2559014,2317192
Bali,1527843,1785503,2364734,1967384
Nusa Tenggara Barat,952555,1446486,1465460,1278749
Nusa Tenggara Timur,965946,926142,1231791,1035532
Kalimantan Barat,1433153,2142711,2284225,1805701
Kalimantan Tengah,1955977,2749316,2621582,2325737
Kalimantan Selatan,1514713,1861688,2025841,1809325
Kalimantan Timur,2374413,2629065,2770110,2615014
Kalimantan Utara,1787272,2141840,2499166,2112353
Sulawesi Utara,1793626,2587833,2141333,2134563
Sulawesi Tengah,1405839,1637528,1921929,1610005
Sulawesi Selatan,1704926,1896532,2224077,1961626
Sulawesi Tenggara,1562832,1594244,2185582,1813431
Gorontalo,1615470,1774756,1506680,1608048
Sulawesi Barat,1129456,1367983,1338947,1238649
Maluku,1075547,1794110,1701413,1471298
Maluku Utara,1542396,1813652,2087746,1806232
Papua Barat,1485041,2969712,2450532,2104890
Papua,1694726,3062414,3104851,2221291
Indonesia,1413797,1921185,2147250,1862958
,,,,
Catatan,,,,
"<sup>1</sup> Pekerja Informal/ Informal Employee : Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/ Employment status are self employed, casual agricultural worker, and casual non-agricultural worker ",,,,
"<sup>2</sup> Pertanian: Pertanian, Perkebunan, Kehutanan, Perburuan, dan Perikanan/ Agriculture: Agriculture, Forestry, Hunting, and Fisheries   Industri: Pertambangan dan Penggalian, Industri, Listrik, Gas, dan Air Minum, Konstruksi/ ",,,,
" Manufacture: Mining, Manufacturing Industry, Electricity, Gas, Water, and Construction. ",,,,
" Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi, Transportasi, Pergudangan dan Komunikasi, Lembaga Keuangan, Real Estate, Usaha Persewaan dan Jasa Perusahaan, Jasa Kemasyarakatan, Sosial dan Perorangan/ ",,,,
" Services: Wholesale Trade, Retail Trade, Restaurants and Hotels,   Transportation, Warehousing, and Communication, Financing, Insurance, Real Estate, Business Services, and Public Service",,,,
