Provinsi,Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi -Tidak pernah sekolah/Belum tamat SD (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Sekolah Dasar (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Sekolah Menengah Pertama (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - SMA ke atas (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Jumlah (Rp)
Aceh,1114041,1346925,1618445,1791888,1547604
Sumatera Utara,1222205,1410609,1575468,2049495,1673701
Sumatera Barat,1294513,1393822,1636662,1944367,1594744
Riau,1496935,1768775,2013357,2263098,1928436
Jambi,1379812,1725446,1868881,2204564,1821541
Sumatera Selatan,1158236,1406955,1582075,1844550,1501799
Bengkulu,1026297,1320257,1619080,1761675,1447690
Lampung,1163521,1416795,1443189,1821396,1468371
Kepulauan Bangka Belitung,1566092,2070180,2225034,2360718,2037486
Kepulauan Riau,1771208,2095221,2950263,3246678,2676592
DKI Jakarta,2526765,2669869,2844071,3775550,3222666
Jawa Barat,1419957,1678890,1894415,2581938,1881809
Jawa Tengah,1016277,1408796,1471661,1817809,1407657
DI Yogyakarta,927323,1117100,1372525,1824425,1415677
Jawa Timur,987082,1438415,1566917,1971992,1467091
Banten,1434230,1755164,2379523,3012821,2121536
Bali,1286597,1637702,1871355,2666169,1905095
Nusa Tenggara Barat,961152,1146813,1168541,1554811,1168359
Nusa Tenggara Timur,925822,975283,1112490,1499583,1088654
Kalimantan Barat,1327242,1680413,1807992,2476737,1764395
Kalimantan Tengah,1650777,1787040,2097291,2656519,2031525
Kalimantan Selatan,1283943,1531457,1914947,2169247,1691582
Kalimantan Timur,1793483,2037511,2702326,3085580,2476219
Kalimantan Utara,1602468,2055872,2377220,2690822,2226340
Sulawesi Utara,1505930,1713005,2072040,2475989,1999295
Sulawesi Tengah,1024192,1477752,1484766,1761918,1458321
Sulawesi Selatan,1455107,1572451,1710979,2489538,1804007
Sulawesi Tenggara,1150652,1330301,1574095,1844939,1489794
Gorontalo,1144922,1346251,1350638,1861018,1348609
Sulawesi Barat,1029655,1176901,1303987,1404720,1206201
Maluku,1618448,1283616,1549484,1711382,1558987
Maluku Utara,1354937,1560774,1697080,2117591,1735731
Papua Barat,2075306,2309464,2528989,2588337,2405351
Papua,1819226,2170865,2458732,3200975,2472904
Indonesia,1213236,1549220,1740115,2268892,1700282
,,,,,
Catatan,,,,,
"<sup>1  </sup>Pekerja Informal/<i>Informal Employee</i>: Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/<i>Employment status are self employed, casual agricultural worker, and casual non-agricultural worker</i>",,,,,
