Kelompok Umur - UB,Tingkat Pengangguran Terbuka Berdasarkan Kelompok Umur,,,,,
,2018,2019,2020,2021,2022,2023
15-19,26.93,26.12,24.34,23.91,29.08,25.77
20-24,16.79,15.64,18.71,17.73,17.02,16.85
25-29,6.97,7.19,9.77,9.26,7.13,7.48
30-34,3.44,3.52,5.75,5.43,3.7,3.55
35-39,2.48,2.25,4.32,4.02,2.65,2.54
40-44,1.8,2.06,3.92,3.42,2.43,1.82
45-49,1.58,1.81,3.54,3.3,2.33,1.8
50-54,1.39,1.65,3.61,2.18,2.38,1.79
55-59,1.25,1.3,3.21,1.98,2.37,1.52
60 keatas,0.61,0.68,1.7,2.73,2.85,1.28
Rata-Rata,5.3,5.23,7.07,6.49,5.86,5.32
,,,,,,
Catatan,<br /><br /><br />Sumber: Survei Angkatan Kerja Nasional (Sakernas)<br /><br /><br /><br />,,,,,
